-- Logs begin at Fri 2017-11-03 13:31:21 UTC, end at Fri 2017-11-03 13:48:19 UTC. --
Nov 03 13:47:49 minion2 kubelet[1334]: E1103 13:47:49.404396    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:49 minion2 kubelet[1334]: E1103 13:47:49.404243    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:49 minion2 kubelet[1334]: E1103 13:47:49.404080    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:46 minion2 kubelet[1334]: E1103 13:47:46.390623    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:46 minion2 kubelet[1334]: E1103 13:47:46.390463    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:46 minion2 kubelet[1334]: E1103 13:47:46.390106    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:43 minion2 kubelet[1334]: E1103 13:47:43.386599    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:43 minion2 kubelet[1334]: E1103 13:47:43.386491    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:43 minion2 kubelet[1334]: E1103 13:47:43.386361    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:40 minion2 kubelet[1334]: E1103 13:47:40.376902    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:40 minion2 kubelet[1334]: E1103 13:47:40.376843    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:40 minion2 kubelet[1334]: E1103 13:47:40.376765    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:37 minion2 kubelet[1334]: E1103 13:47:37.372795    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:37 minion2 kubelet[1334]: E1103 13:47:37.372560    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:37 minion2 kubelet[1334]: E1103 13:47:37.372320    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:34 minion2 kubelet[1334]: E1103 13:47:34.365501    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:34 minion2 kubelet[1334]: E1103 13:47:34.365434    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:34 minion2 kubelet[1334]: E1103 13:47:34.365294    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:31 minion2 kubelet[1334]: E1103 13:47:31.362391    1334 reflector.go:188] pkg/kubelet/kubelet.go:386: Failed to list *api.Node: Get http://192.168.33.10:8080/api/v1/nodes?fieldSelector=metadata.name%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:31 minion2 kubelet[1334]: E1103 13:47:31.362210    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:31 minion2 kubelet[1334]: E1103 13:47:31.362006    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:28 minion2 kubelet[1334]: E1103 13:47:28.352451    1334 reflector.go:188] pkg/kubelet/config/apiserver.go:44: Failed to list *api.Pod: Get http://192.168.33.10:8080/api/v1/pods?fieldSelector=spec.nodeName%3D192.168.33.30&resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
Nov 03 13:47:28 minion2 kubelet[1334]: E1103 13:47:28.352399    1334 reflector.go:188] pkg/kubelet/kubelet.go:378: Failed to list *api.Service: Get http://192.168.33.10:8080/api/v1/services?resourceVersion=0: dial tcp 192.168.33.10:8080: getsockopt: no route to host
